Frequency_Hz,Amplitude_dB,Transformer_ID,Condition
19.95,-33.0648676881226,T1,Healthy
20.42,-35.39824705944914,T1,Healthy
20.89,-34.725627948179046,T1,Healthy
21.38,-32.68613982461731,T1,Healthy
21.88,-33.236618247051865,T1,Healthy
22.39,-34.633365264590644,T1,Healthy
22.92,-34.60383705237044,T1,Healthy
23.45,-33.624964176622555,T1,Healthy
24.0,-33.3748228241064,T1,Healthy
24.56,-34.8930144742513,T1,Healthy
25.13,-34.27753668510808,T1,Healthy
25.72,-33.3409441391339,T1,Healthy
26.32,-32.90727823807931,T1,Healthy
26.93,-34.126268868242384,T1,Healthy
27.56,-34.307284315943264,T1,Healthy
28.2,-34.60990233778571,T1,Healthy
28.86,-34.24910912915991,T1,Healthy
29.54,-34.41740225833466,T1,Healthy
30.22,-31.239448416965224,T1,Healthy
30.93,-32.921345897417496,T1,Healthy
31.65,-33.57272249465427,T1,Healthy
32.39,-34.13425103072796,T1,Healthy
33.15,-32.31775920617795,T1,Healthy
33.92,-33.74373796395189,T1,Healthy
34.71,-32.969757685966016,T1,Healthy
35.52,-32.79743991782924,T1,Healthy
36.35,-34.98953687485581,T1,Healthy
37.2,-33.09677655414995,T1,Healthy
38.07,-33.32897370940834,T1,Healthy
38.96,-33.7806609955059,T1,Healthy
39.87,-31.989573668992886,T1,Healthy
40.8,-33.92102939577426,T1,Healthy
41.75,-32.79408641644031,T1,Healthy
42.72,-32.215576928480345,T1,Healthy
43.72,-33.781881030598555,T1,Healthy
44.74,-32.83605568936574,T1,Healthy
45.78,-33.2560076680054,T1,Healthy
46.85,-32.335144901553825,T1,Healthy
47.95,-32.06247587999023,T1,Healthy
49.07,-33.628470515502094,T1,Healthy
50.21,-32.641840178702964,T1,Healthy
51.38,-32.84969111133373,T1,Healthy
52.58,-33.608533619291556,T1,Healthy
53.81,-32.27915291648806,T1,Healthy
55.07,-32.61147273451971,T1,Healthy
56.35,-32.464411881593705,T1,Healthy
57.67,-33.07194588846942,T1,Healthy
59.01,-33.319296988639834,T1,Healthy
60.39,-33.05016632892366,T1,Healthy
61.8,-31.676215466834154,T1,Healthy
63.24,-30.06745394175987,T1,Healthy
64.72,-32.34445360480118,T1,Healthy
66.23,-31.404291547987086,T1,Healthy
67.77,-32.50941439187007,T1,Healthy
69.36,-33.36736473044489,T1,Healthy
70.97,-33.883366200251366,T1,Healthy
72.63,-33.06520919842445,T1,Healthy
74.33,-32.22858372482036,T1,Healthy
76.06,-32.767802082242135,T1,Healthy
77.84,-33.47901710751597,T1,Healthy
79.65,-32.676297353067305,T1,Healthy
81.51,-31.905539078323482,T1,Healthy
83.41,-32.91974056448973,T1,Healthy
85.36,-32.04333081312971,T1,Healthy
87.35,-32.60082563945037,T1,Healthy
89.39,-31.47966311613771,T1,Healthy
91.48,-31.96320833295416,T1,Healthy
93.61,-31.29460736843439,T1,Healthy
95.8,-33.02424052346896,T1,Healthy
98.04,-33.32542233272281,T1,Healthy
100.32,-32.484786806812714,T1,Healthy
102.67,-30.98579064921665,T1,Healthy
105.06,-32.86176403221001,T1,Healthy
107.51,-31.810541575990666,T1,Healthy
110.02,-31.488452363485102,T1,Healthy
112.59,-31.36563731276045,T1,Healthy
115.22,-33.333478355190536,T1,Healthy
117.91,-31.6178699467284,T1,Healthy
120.66,-32.8621867223815,T1,Healthy
123.48,-33.53486442733659,T1,Healthy
126.36,-32.42536642629993,T1,Healthy
129.31,-32.17055279927233,T1,Healthy
132.33,-33.558585663084465,T1,Healthy
135.41,-32.80844687133477,T1,Healthy
138.57,-31.307439723669443,T1,Healthy
141.81,-31.7547321753262,T1,Healthy
145.12,-32.83679631845712,T1,Healthy
148.51,-31.81964943001694,T1,Healthy
151.97,-31.648974645224556,T1,Healthy
155.52,-32.37826344350652,T1,Healthy
159.15,-31.20683943527051,T1,Healthy
162.86,-32.27875673060004,T1,Healthy
166.66,-31.591415714953445,T1,Healthy
170.55,-33.020107018579644,T1,Healthy
174.54,-31.759602225007338,T1,Healthy
178.61,-32.539130045377625,T1,Healthy
182.78,-33.85017268686726,T1,Healthy
187.04,-32.02370821184621,T1,Healthy
191.41,-31.591452504506595,T1,Healthy
195.88,-32.45385826657722,T1,Healthy
200.45,-32.335633080328385,T1,Healthy
205.13,-32.54816828599205,T1,Healthy
209.92,-31.9677872682987,T1,Healthy
214.81,-33.20486888240276,T1,Healthy
219.83,-33.738668483571885,T1,Healthy
224.96,-31.762057178152983,T1,Healthy
230.21,-32.39414614817706,T1,Healthy
235.58,-31.51600333339521,T1,Healthy
241.08,-32.90595081241555,T1,Healthy
246.71,-32.59636054276535,T1,Healthy
252.47,-31.658412824461514,T1,Healthy
258.36,-32.303636308111834,T1,Healthy
264.39,-32.68270331764116,T1,Healthy
270.56,-32.08069372358369,T1,Healthy
276.88,-32.906127637677976,T1,Healthy
283.34,-31.962581368950254,T1,Healthy
289.95,-32.9606209778051,T1,Healthy
296.72,-33.506621653495245,T1,Healthy
303.64,-32.47835254302698,T1,Healthy
310.73,-33.85175614052403,T1,Healthy
317.98,-33.766016858150465,T1,Healthy
325.41,-33.14681798849392,T1,Healthy
333.0,-33.413520053554805,T1,Healthy
340.77,-34.56540422295812,T1,Healthy
348.73,-33.285058759036524,T1,Healthy
356.87,-32.376983422690834,T1,Healthy
365.2,-35.18035533162544,T1,Healthy
373.72,-33.10859749893899,T1,Healthy
382.44,-33.88804191298582,T1,Healthy
391.37,-33.05060737320561,T1,Healthy
400.5,-32.324624051430035,T1,Healthy
409.85,-33.74152621204686,T1,Healthy
419.42,-31.884037948701277,T1,Healthy
429.21,-34.59581971157059,T1,Healthy
439.22,-33.98370641789086,T1,Healthy
449.47,-33.499810056764304,T1,Healthy
459.97,-33.46606048667976,T1,Healthy
470.7,-33.883132511991576,T1,Healthy
481.69,-32.96223811484333,T1,Healthy
492.93,-33.44444141393024,T1,Healthy
504.44,-33.73095913307578,T1,Healthy
516.21,-33.919065795414205,T1,Healthy
528.26,-33.61497050136544,T1,Healthy
540.59,-34.32216699483582,T1,Healthy
553.2,-34.14844324469739,T1,Healthy
566.12,-33.74586704746409,T1,Healthy
579.33,-34.67885111716314,T1,Healthy
592.85,-35.25549497952915,T1,Healthy
606.69,-35.57542145698722,T1,Healthy
620.85,-33.88364305666289,T1,Healthy
635.34,-33.86695978543725,T1,Healthy
650.17,-34.34926794862002,T1,Healthy
665.34,-35.40646590317558,T1,Healthy
680.87,-35.898919099388706,T1,Healthy
696.76,-34.546587440597925,T1,Healthy
713.03,-35.648122698741126,T1,Healthy
